Date,Open,High,Low,Close,Adj Close,Volume
2019-12-10,3.817381,3.817987,3.743366,3.803137,3.803137,437552956
2019-12-11,3.801570,3.839249,3.772379,3.777862,3.777862,740021397
2019-12-12,3.777007,3.851503,3.755906,3.840427,3.840427,566866698
2019-12-13,3.840724,3.887453,3.822512,3.861161,3.861161,511254437
2019-12-14,3.860080,3.880444,3.778891,3.820490,3.820490,452726314
2019-12-15,3.821596,3.856524,3.737484,3.822692,3.822692,460833863
2019-12-16,3.820590,3.862255,3.656617,3.699797,3.699797,555505100
2019-12-17,3.698814,3.721599,3.430632,3.472387,3.472387,560517229
2019-12-18,3.475456,3.785233,3.433690,3.776514,3.776514,741670263
2019-12-19,3.778343,3.807867,3.658623,3.765041,3.765041,545993349
2019-12-20,3.766629,4.120175,3.735106,4.062996,4.062996,699804591
2019-12-21,4.063949,4.164384,4.020119,4.102632,4.102632,751856617
2019-12-22,4.102546,4.241953,4.074946,4.203783,4.203783,738381969
2019-12-23,4.203530,4.239964,3.982347,4.008966,4.008966,716022187
2019-12-24,4.011099,4.065788,3.933537,3.963841,3.963841,650961999
2019-12-25,3.967331,4.105596,3.949316,4.079373,4.079373,651227270
2019-12-26,4.078371,4.618860,4.077705,4.506411,4.506411,1038713351
2019-12-27,4.505428,4.626861,4.434268,4.524920,4.524920,1051285596
2019-12-28,4.524613,4.556330,4.409315,4.420311,4.420311,702721446
2019-12-29,4.418972,4.754080,4.412042,4.660553,4.660553,864464994
2019-12-30,4.660097,4.785461,4.579086,4.641164,4.641164,889697900
2019-12-31,4.640587,4.742227,4.438776,4.496954,4.496954,855008049
2020-01-01,4.497428,4.558976,4.478464,4.502792,4.502792,578070570
2020-01-02,4.502638,4.508207,4.203510,4.255888,4.255888,692082812
2020-01-03,4.249905,4.633809,4.203081,4.576237,4.576237,853611121
2020-01-04,4.571729,4.732288,4.542132,4.726842,4.726842,771746505
2020-01-05,4.773920,5.014711,4.771709,4.907899,4.907899,929077855
2020-01-06,4.908660,5.116159,4.892306,5.046119,5.046119,935281051
2020-01-07,5.045120,5.060316,4.757142,4.834597,4.834597,1006600641
2020-01-08,4.835410,5.060874,4.799260,4.973396,4.973396,998712343
2020-01-09,4.971718,5.212575,4.933996,5.212575,5.212575,1014858990
2020-01-10,5.215691,5.376489,4.937484,5.335749,5.335749,1230740496
2020-01-11,5.330778,5.768368,5.324747,5.580108,5.580108,1355984729
2020-01-12,5.578839,5.643586,5.404062,5.564110,5.564110,1012635723
2020-01-13,5.564164,5.585412,5.358245,5.496850,5.496850,817167779
2020-01-14,5.496718,6.931999,5.490246,6.809738,6.809738,2077666220
2020-01-15,6.803932,8.068613,6.669227,7.976096,7.976096,3050686527
2020-01-16,7.976919,8.509665,7.340187,8.377725,8.377725,2591162119
2020-01-17,8.365840,11.912229,8.131842,9.519626,9.519626,4699240277
2020-01-18,9.583789,9.715334,8.189579,8.329157,8.329157,3191984632
2020-01-19,8.323399,9.363050,7.897515,8.508953,8.508953,3071743046
2020-01-20,8.508677,9.076823,8.130704,8.673727,8.673727,2181334259
2020-01-21,8.672778,9.104007,8.560268,8.945603,8.945603,1792016776
2020-01-22,8.947836,9.469380,8.943672,9.337963,9.337963,1893350417
2020-01-23,9.337173,9.364305,8.268521,8.463453,8.463453,1878541112
2020-01-24,8.472225,8.809195,7.962037,8.623168,8.623168,1962297203
2020-01-25,8.620255,8.620255,8.211890,8.433458,8.433458,1429389665
2020-01-26,8.430691,9.277259,8.274658,9.143773,9.143773,1685344364
2020-01-27,9.140094,10.998803,9.136000,10.424934,10.424934,3089196032
2020-01-28,10.424811,11.615151,10.350886,11.530346,11.530346,3491046320
2020-01-29,11.487793,12.737597,11.388391,12.319812,12.319812,4198264073
2020-01-30,12.293617,12.614086,11.734572,12.274305,12.274305,3429768629
2020-01-31,12.268274,12.268671,10.827656,11.300945,11.300945,2910829193
2020-02-01,11.321859,11.746797,11.134864,11.541698,11.541698,2507607884
2020-02-02,11.523211,11.725974,11.200713,11.388737,11.388737,2230362843
2020-02-03,11.382748,12.155769,11.336669,11.792460,11.792460,2572871754
2020-02-04,11.787080,11.869723,11.205737,11.432574,11.432574,2163865570
2020-02-05,11.425260,12.574313,11.366084,12.338170,12.338170,2630503881
2020-02-06,12.343172,13.148558,11.473717,12.098636,12.098636,3578970064
2020-02-07,12.120239,12.206458,11.428928,11.702788,11.702788,2864925899
2020-02-08,11.704146,11.910501,11.214233,11.672790,11.672790,2458728176
2020-02-09,11.672274,12.019036,11.419821,11.710107,11.710107,2256308242
2020-02-10,11.715560,12.042900,11.479984,11.839010,11.839010,2949720159
2020-02-11,11.843910,12.088293,11.637870,11.947535,11.947535,2623748664
2020-02-12,11.939920,12.429328,11.924167,12.242922,12.242922,2558687675
2020-02-13,12.240053,13.021754,11.693109,12.042050,12.042050,3267500937
2020-02-14,12.043077,12.049500,11.708147,11.980768,11.980768,2197029670
2020-02-15,11.976299,12.054794,9.945034,10.388147,10.388147,2720972974
2020-02-16,10.396425,10.636585,9.030407,9.635473,9.635473,2727702320
2020-02-17,9.602221,9.794127,8.801233,9.609963,9.609963,2840284893
2020-02-18,9.612987,9.891343,9.216100,9.822367,9.822367,2025728373
2020-02-19,9.824629,9.830532,8.784146,8.879038,8.879038,1807922283
